user_id,product_id,interaction_type,timestamp,rating
412,287,view,2023-06-01 00:00:00,5
552,91,wishlist,2023-06-01 00:01:00,4
949,439,wishlist,2023-06-01 00:02:00,2
294,4,view,2023-06-01 00:03:00,5
367,218,view,2023-06-01 00:04:00,4
482,86,purchase,2023-06-01 00:05:00,5
295,67,click,2023-06-01 00:06:00,4
897,205,purchase,2023-06-01 00:07:00,2
655,427,view,2023-06-01 00:08:00,5
32,68,purchase,2023-06-01 00:09:00,4
586,264,view,2023-06-01 00:10:00,3
128,382,purchase,2023-06-01 00:11:00,4
343,366,click,2023-06-01 00:12:00,5
523,309,purchase,2023-06-01 00:13:00,5
349,254,view,2023-06-01 00:14:00,5
915,29,purchase,2023-06-01 00:15:00,3
728,373,click,2023-06-01 00:16:00,4
26,404,purchase,2023-06-01 00:17:00,3
204,354,click,2023-06-01 00:18:00,4
854,231,wishlist,2023-06-01 00:19:00,5
695,47,purchase,2023-06-01 00:20:00,5
493,415,view,2023-06-01 00:21:00,4
902,154,wishlist,2023-06-01 00:22:00,5
864,112,click,2023-06-01 00:23:00,4
266,350,view,2023-06-01 00:24:00,5
607,35,wishlist,2023-06-01 00:25:00,5
971,40,view,2023-06-01 00:26:00,4
654,15,click,2023-06-01 00:27:00,1
401,62,purchase,2023-06-01 00:28:00,5
964,151,purchase,2023-06-01 00:29:00,4
916,289,click,2023-06-01 00:30:00,4
884,200,view,2023-06-01 00:31:00,5
254,125,wishlist,2023-06-01 00:32:00,5
532,387,click,2023-06-01 00:33:00,4
239,82,view,2023-06-01 00:34:00,5
577,480,purchase,2023-06-01 00:35:00,5
913,138,click,2023-06-01 00:36:00,5
737,228,wishlist,2023-06-01 00:37:00,3
485,301,view,2023-06-01 00:38:00,5
174,214,view,2023-06-01 00:39:00,5
77,41,click,2023-06-01 00:40:00,2
595,284,purchase,2023-06-01 00:41:00,5
468,401,click,2023-06-01 00:42:00,5
985,423,view,2023-06-01 00:43:00,4
133,249,click,2023-06-01 00:44:00,4
292,249,purchase,2023-06-01 00:45:00,3
780,483,view,2023-06-01 00:46:00,5
547,497,view,2023-06-01 00:47:00,2
847,452,purchase,2023-06-01 00:48:00,3
476,8,view,2023-06-01 00:49:00,3
246,64,click,2023-06-01 00:50:00,3
831,262,purchase,2023-06-01 00:51:00,5
66,140,view,2023-06-01 00:52:00,5
757,20,view,2023-06-01 00:53:00,1
551,32,purchase,2023-06-01 00:54:00,3
391,187,view,2023-06-01 00:55:00,2
154,150,click,2023-06-01 00:56:00,4
377,13,view,2023-06-01 00:58:00,3
24,172,view,2023-06-01 00:59:00,4
661,111,purchase,2023-06-01 01:00:00,5
484,471,click,2023-06-01 01:01:00,5
446,150,click,2023-06-01 01:02:00,5
389,419,purchase,2023-06-01 01:03:00,1
517,180,purchase,2023-06-01 01:04:00,4
592,4,purchase,2023-06-01 01:05:00,5
876,274,view,2023-06-01 01:06:00,5
58,498,view,2023-06-01 01:07:00,5
317,307,view,2023-06-01 01:08:00,5
846,64,wishlist,2023-06-01 01:09:00,2
687,329,wishlist,2023-06-01 01:10:00,5
745,66,view,2023-06-01 01:11:00,2
576,322,click,2023-06-01 01:12:00,3
637,460,click,2023-06-01 01:13:00,5
569,145,view,2023-06-01 01:14:00,5
566,111,view,2023-06-01 01:15:00,4
768,128,purchase,2023-06-01 01:16:00,2
936,380,wishlist,2023-06-01 01:17:00,4
966,128,view,2023-06-01 01:18:00,1
886,393,view,2023-06-01 01:19:00,4
993,260,click,2023-06-01 01:20:00,5
666,128,view,2023-06-01 01:21:00,4
142,166,view,2023-06-01 01:22:00,2
305,232,view,2023-06-01 01:23:00,3
341,63,purchase,2023-06-01 01:24:00,5
835,304,view,2023-06-01 01:25:00,5
203,448,view,2023-06-01 01:26:00,4
298,194,click,2023-06-01 01:27:00,5
238,303,view,2023-06-01 01:28:00,5
507,392,purchase,2023-06-01 01:29:00,2
714,387,view,2023-06-01 01:30:00,3
520,458,click,2023-06-01 01:31:00,5
210,97,click,2023-06-01 01:32:00,5
245,292,wishlist,2023-06-01 01:33:00,2
502,73,wishlist,2023-06-01 01:34:00,5
537,464,view,2023-06-01 01:35:00,2
912,265,view,2023-06-01 01:36:00,2
424,397,view,2023-06-01 01:37:00,5
517,44,click,2023-06-01 01:38:00,5
696,147,wishlist,2023-06-01 01:39:00,4
946,164,view,2023-06-01 01:40:00,4
135,307,view,2023-06-01 01:41:00,3
678,33,click,2023-06-01 01:42:00,4
963,171,view,2023-06-01 01:43:00,3
246,458,purchase,2023-06-01 01:44:00,4
383,164,view,2023-06-01 01:45:00,2
594,240,wishlist,2023-06-01 01:46:00,1
38,383,wishlist,2023-06-01 01:47:00,4
532,436,click,2023-06-01 01:48:00,4
62,238,purchase,2023-06-01 01:49:00,3
522,117,click,2023-06-01 01:50:00,5
15,411,click,2023-06-01 01:51:00,4
36,494,view,2023-06-01 01:52:00,5
223,143,view,2023-06-01 01:53:00,3
185,321,view,2023-06-01 01:54:00,5
532,338,wishlist,2023-06-01 01:55:00,3
885,441,view,2023-06-01 01:56:00,4
886,34,view,2023-06-01 01:57:00,5
594,286,view,2023-06-01 01:58:00,3
204,78,view,2023-06-01 01:59:00,4
917,158,view,2023-06-01 02:00:00,2
133,18,view,2023-06-01 02:01:00,4
897,93,view,2023-06-01 02:02:00,3
360,166,purchase,2023-06-01 02:03:00,3
5,385,view,2023-06-01 02:04:00,4
306,85,view,2023-06-01 02:05:00,5
984,183,view,2023-06-01 02:06:00,4
331,388,view,2023-06-01 02:07:00,4
833,278,click,2023-06-01 02:08:00,5
186,291,view,2023-06-01 02:09:00,1
826,199,view,2023-06-01 02:10:00,5
41,147,view,2023-06-01 02:11:00,2
312,392,view,2023-06-01 02:12:00,4
48,241,view,2023-06-01 02:13:00,2
420,268,view,2023-06-01 02:14:00,4
584,327,view,2023-06-01 02:16:00,1
297,30,click,2023-06-01 02:17:00,5
576,382,view,2023-06-01 02:18:00,3
399,313,view,2023-06-01 02:19:00,4
